Designator,Mid X,Mid Y,Rotation,Layer
J9,141.3176,-32.744,270.0,top
L1,168.472,-71.67325,180.0,bottom
L2,91.7956,-78.8188,0.0,top
L3,142.1384,-100.2056,90.0,top
NT1,168.43,-42.3967,180.0,bottom
Q1,158.3361,-102.578,180.0,top
R1,141.6812,-70.8432,0.0,top
R10,128.8796,-65.052,180.0,top
R11,160.274,-46.6116,270.0,top
R12,165.4556,-42.344999,180.0,top
R13,156.464,-39.2456,270.0,top
R14,158.8008,-46.6116,90.0,top
R15,157.4292,-46.256,90.0,top
R16,147.574,-39.0932,90.0,top
R17,145.8468,-42.7,90.0,top
R18,153.6172,-52.1488,0.0,top
R19,154.2796,-37.6708,90.0,top
R2,134.2296,-89.989,180.0,top
R20,153.6192,-53.5628,0.0,top
R21,161.487,-68.49825,0.0,bottom
R22,161.487,-70.14925,0.0,bottom
R23,166.8464,-63.95165,0.0,bottom
R24,170.5548,-63.95165,180.0,bottom
R25,175.584,-68.47285,180.0,bottom
R26,175.584,-69.99685,180.0,bottom
R27,174.4244,-42.2428,180.0,bottom
R28,159.192,-60.40225,0.0,bottom
R29,159.192,-59.09125,0.0,bottom
R3,134.8646,-88.846,180.0,top
R30,176.718,-60.8864,90.0,bottom
R31,174.3736,-43.97,180.0,bottom
R32,177.8788,-43.1572,270.0,bottom
R33,175.6004,-60.8864,270.0,bottom
R34,160.8946,-50.10965,90.0,bottom
R35,173.2636,-57.31325,270.0,bottom
R36,174.432,-57.92285,270.0,bottom
R37,161.0044,-55.67125,270.0,bottom
R38,162.0712,-55.21405,270.0,bottom
R4,135.3726,-87.703,180.0,top
R40,185.2676,-52.479,0.0,top
R41,184.7788,-36.7464,90.0,top
R42,186.3852,-36.7564,90.0,top
R43,172.8397,-45.8562,0.0,top
R44,171.8556,-35.461,90.0,top
R46,182.2196,-47.1892,270.0,top
R47,173.482,-35.4864,90.0,top
R48,176.9872,-33.9726,90.0,top
R49,178.6128,-34.0,90.0,top
R5,182.0266,-77.752,90.0,top
R50,183.4696,-45.1892,90.0,top
R51,183.4696,-47.1892,270.0,top
R52,181.3436,-34.306,90.0,top
R53,182.9308,-34.32,90.0,top
R54,176.8731,-40.0584,0.0,top
R55,170.6807,-44.3322,270.0,top
R56,176.8856,-41.2834,0.0,top
R57,169.4907,-44.3322,270.0,top
R58,100.6366,-60.2255,0.0,top
R59,102.8446,-56.924,0.0,top
R6,183.9316,-77.752,90.0,top
R60,130.2404,-41.89,0.0,top
R61,130.2404,-43.5664,180.0,top
R62,135.0156,-43.5664,0.0,top
R63,135.0156,-41.874,0.0,top
R64,151.6126,-23.904,90.0,top
R65,132.9436,-23.904,90.0,top
R66,104.7696,-97.403,180.0,top
R67,95.6146,-96.117,0.0,top
R68,121.158,-50.2992,0.0,top
R69,104.7456,-95.117,180.0,top
R7,128.8796,-62.8676,180.0,top
R70,95.6246,-97.318,0.0,top
R71,95.6146,-98.53,0.0,top
R72,99.2956,-100.451,270.0,top
R73,100.4386,-100.451,270.0,top
R74,127.445,-105.692,180.0,top
R75,147.828,-49.241,90.0,top
R76,83.8708,-78.1096,90.0,top
R77,76.8604,-77.6016,0.0,top
R78,78.2574,-73.5376,90.0,top
R79,78.8924,-75.3436,0.0,top
R8,146.9664,-60.0736,0.0,top
R80,82.3214,-74.8076,0.0,top
R81,82.4484,-76.0756,0.0,top
R82,153.8966,-99.977,180.0,top
R83,154.7856,-103.533,0.0,top
R84,124.7366,-89.744,90.0,top
R85,69.8246,-55.781,180.0,top
R86,166.2176,-80.927,90.0,top
R87,158.7226,-105.311,180.0,top
R88,138.3284,-101.0184,0.0,top
R89,138.5316,-98.072,270.0,top
R9,128.8796,-63.9852,180.0,top
R90,137.414,-98.072,90.0,top
R91,136.1948,-97.9196,90.0,top
R92,163.1168,-94.77,180.0,top
R93,163.576,-99.2404,180.0,top
R94,169.8436,-94.893999,0.0,top
R95,163.1168,-93.754,0.0,top
R96,168.7576,-92.103,270.0,top
R97,167.6146,-92.103,270.0,top
SW1,149.8092,-62.4612,270.0,top
SW2,154.8664,-59.21,270.0,bottom
TH1,175.6156,-63.95165,270.0,bottom
U1,133.9676,-76.882,270.0,top
U10,182.9892,-64.8056,0.0,bottom
U11,185.9389,-32.2735,0.0,top
U12,172.8938,-23.4976,270.0,top
U13,172.843,-26.6472,270.0,top
U14,177.5737,-45.9512,0.0,top
U15,95.9866,-58.7755,0.0,top
U16,90.1366,-49.816,180.0,top
U17,105.0036,-50.32,180.0,top
U18,132.5692,-47.002,0.0,top
U19,134.9716,-32.724,270.0,bottom
U2,146.9664,-62.5736,180.0,top
U20,117.7036,-32.851,270.0,bottom
U21,109.6986,-92.98,0.0,top
U22,100.1856,-95.528,0.0,top
U23,160.7566,-83.086,180.0,top
U24,80.7004,-79.0446,270.0,top
U25,134.9372,-100.7804,180.0,top
U26,166.5416,-96.258999,0.0,top
U27,175.8086,-92.419,90.0,bottom
U28,173.2726,-92.411,270.0,top
U29,172.5106,-100.412,270.0,top
U3,161.3916,-40.852,90.0,top
U32,118.3426,-78.771,270.0,top
U4,149.9108,-39.144,270.0,top
U5,155.448,-29.1872,0.0,top
U6,155.5113,-23.7117,270.0,top
U7,168.4528,-32.7726,0.0,top
U8,176.1516,-36.1024,180.0,bottom
U9,168.6856,-58.85065,0.0,bottom
Y1,145.463,-67.7358,0.0,top
Y2,99.9236,-66.195,90.0,top
