Designator,Mid X,Mid Y,Rotation,Layer
J7,142.494,-64.5922,90.0,top
J8,53.8716,-38.9802,180.0,top
J9,99.6616,-38.304,270.0,top
L1,131.220859,-77.063601,180.0,bottom
L2,77.5824,-118.8545,180.0,top
L3,95.885,-102.916,90.0,top
Q1,107.3738,-101.4561,180.0,top
R1,103.886,-74.3458,0.0,top
R10,91.2876,-69.85,180.0,top
R100,88.265,-48.006,90.0,top
R101,90.678,-48.006,90.0,top
R102,88.773,-54.991,90.0,bottom
R103,106.426,-96.266,0.0,top
R104,106.871,-94.742,0.0,top
R11,115.2144,-50.6476,0.0,bottom
R12,123.6472,-48.006,180.0,top
R13,114.8842,-45.2882,0.0,top
R14,117.9576,-50.2666,90.0,top
R15,115.7732,-50.292,0.0,top
R16,106.299,-46.863,90.0,top
R17,105.283,-46.863,270.0,top
R18,111.4024,-42.2148,0.0,top
R19,108.0008,-34.798,180.0,top
R2,97.417,-94.768,180.0,top
R20,111.4044,-43.6288,0.0,top
R21,124.1552,-73.77885,0.0,bottom
R22,124.1552,-75.42985,0.0,bottom
R23,129.3788,-69.23225,0.0,bottom
R24,133.0452,-69.1896,180.0,bottom
R25,138.2654,-73.75345,180.0,bottom
R26,138.2654,-75.27745,180.0,bottom
R27,140.462,-46.1264,0.0,bottom
R28,122.0394,-65.68285,0.0,bottom
R29,121.7244,-64.37185,0.0,bottom
R3,98.052,-93.625,180.0,top
R30,139.2504,-66.167,90.0,bottom
R31,140.462,-47.7774,0.0,bottom
R32,137.1998,-46.84135,270.0,bottom
R33,138.1328,-66.167,270.0,bottom
R34,123.5456,-58.8264,90.0,bottom
R35,135.796,-62.6364,270.0,bottom
R36,136.9644,-63.20345,270.0,bottom
R37,123.5368,-60.95185,270.0,bottom
R38,124.6036,-60.49465,270.0,bottom
R4,98.56,-92.482,180.0,top
R40,141.5288,-58.928,0.0,top
R41,145.6199,-37.2872,90.0,top
R42,144.8299,-37.2872,90.0,top
R43,131.1636,-51.4858,0.0,top
R44,128.2737,-30.4038,90.0,top
R46,141.694485,-52.75226,270.0,top
R47,129.0637,-30.4038,90.0,top
R48,131.03474,-36.3982,90.0,top
R49,130.24474,-36.3982,90.0,top
R5,137.3378,-86.231,90.0,top
R50,142.923904,-50.75017,90.0,top
R51,142.944485,-52.75226,270.0,top
R52,142.9004,-39.3192,90.0,top
R53,143.6878,-39.3192,90.0,top
R54,129.032,-47.9298,90.0,bottom
R55,129.0247,-49.8922,270.0,top
R56,127.889,-47.9298,90.0,bottom
R57,127.889,-49.8922,270.0,top
R58,57.8866,-63.0174,0.0,top
R59,58.4962,-61.4172,270.0,top
R6,139.2428,-86.231,90.0,top
R60,86.1688,-47.3096,0.0,top
R61,86.1688,-48.986,180.0,top
R62,92.837,-48.986,0.0,top
R63,92.837,-47.2936,0.0,top
R64,100.8126,-52.9844,270.0,top
R65,79.3242,-49.5808,180.0,top
R66,107.2467,-113.472,0.0,top
R67,116.4017,-114.758,180.0,top
R68,74.7268,-86.3854,0.0,top
R69,107.2707,-115.758,0.0,top
R7,89.7716,-68.345,270.0,top
R70,116.3917,-113.557,180.0,top
R71,116.4017,-112.345,180.0,top
R72,112.7207,-110.424,90.0,top
R73,111.5777,-110.424,90.0,top
R74,80.0354,-109.0676,180.0,top
R75,65.786,-84.582,270.0,top
R76,85.5072,-119.5637,270.0,top
R77,91.848,-120.6647,90.0,top
R78,90.7304,-124.1699,270.0,top
R79,91.2384,-122.5951,0.0,top
R8,110.1538,-64.8526,0.0,top
R80,87.0566,-122.8657,180.0,top
R81,86.9296,-121.5977,180.0,top
R82,102.9343,-98.8551,180.0,top
R83,103.8233,-102.4111,0.0,top
R84,97.1296,-109.0104,180.0,top
R85,80.0608,-110.7948,0.0,top
R86,79.8068,-86.487,180.0,top
R87,107.2388,-103.7844,180.0,top
R88,92.202,-104.1908,0.0,bottom
R89,92.464,-100.7824,270.0,top
R9,91.2876,-68.7832,180.0,top
R90,91.3464,-100.7824,90.0,top
R91,90.1272,-100.63,90.0,top
R92,122.9868,-83.4898,0.0,top
R93,119.652,-96.7834,180.0,top
R94,130.9022,-88.3666,0.0,top
R95,119.6848,-90.7034,270.0,top
R96,127.8796,-89.4842,0.0,top
R97,128.3876,-88.3666,0.0,top
SW1,112.9966,-67.2402,270.0,top
SW2,117.367,-64.3594,270.0,bottom
TH1,138.148,-69.23225,270.0,bottom
U1,97.155,-81.661,270.0,top
U10,143.2306,-69.342,0.0,bottom
U11,144.4752,-34.544,0.0,top
U12,131.2418,-28.7782,270.0,top
U13,131.3434,-32.2072,270.0,top
U14,135.9177,-51.5112,0.0,top
U15,53.7972,-61.1859,0.0,top
U16,47.6504,-54.4028,180.0,top
U17,60.2314,-54.3092,180.0,top
U18,88.4976,-52.4216,0.0,top
U19,93.726,-38.284,270.0,bottom
U2,110.1538,-67.3526,180.0,top
U20,76.0476,-38.411,270.0,bottom
U21,102.3177,-117.895,180.0,top
U22,111.8307,-115.347,180.0,top
U23,77.4192,-90.8945,0.0,top
U24,88.6776,-118.6287,90.0,top
U25,88.8696,-103.4908,180.0,top
U26,122.6176,-93.801999,0.0,top
U27,132.6134,-100.3126,270.0,top
U28,132.8968,-95.655,270.0,top
U29,132.2538,-97.036,90.0,bottom
U3,119.7356,-46.412,90.0,top
U32,101.5906,-60.1178,180.0,bottom
U33,91.313,-65.659,45.0,bottom
U4,108.2548,-44.704,270.0,top
U5,114.3,-32.258,270.0,top
U6,114.3,-28.829,270.0,top
U7,126.4506,-38.2818,0.0,top
U8,140.4112,-39.7002,0.0,bottom
U9,131.218,-64.13125,0.0,bottom
Y1,108.6504,-72.5148,0.0,top
Y2,57.6326,-68.2498,270.0,top
